name,category,Protein,Carbohydrates,Sugar,Fat,Fiber,Sodium,allergen,allergen_milk,allergen_nuts,allergen_soybeans,allergen_gluten,allergen_eggs,calculated_nutriscore,health_class
Barista Edition Oat Drink - Oatly - 500 ml,drinks,14.52,7.0,20.0,29.935,17.0,1.0,Allergens: Gluten,0,0,0,1,0,2,Neutral
Lískooříškové mléko - Lidl - 1L,drinks,0.4,3.1,3.1,0.2,12.751875527426158,0.1,Allergens: Nuts,0,1,0,0,0,2,Neutral
Kefir Protein Cherry - Biotiful,drinks,10.4,6.4,6.0,0.16,12.751875527426158,0.036,Allergens: Apple,0,0,0,0,0,1,Beneficial
1L MAISON PERRIER CITRON,drinks,0.0,0.0,0.0,0.0,0.0,0.0,Allergens: Apple,0,0,0,0,0,2,Neutral
Barista Haver (new) - Alpro Soya - 750 ml,drinks,0.8,6.7,3.3,0.3,1.0,0.325,Allergens: Apple,0,0,0,0,0,3,Harmful
Latte Espresso - Lidl - 330 ml,drinks,3.0,8.2,8.2,0.8,12.751875527426158,0.18,Allergens: Milk,1,0,0,0,0,2,Neutral
Soia drink vanilla - Milbona - 1l,drinks,3.6,5.9,5.9,0.3,12.751875527426158,0.16,Allergens: Soybeans,0,0,1,0,0,2,Neutral
Milbona - 500g,drinks,3.4,4.4,4.4,1.0,12.751875527426158,0.1,Allergens: Milk,1,0,0,0,0,2,Neutral
Mandeldrink - Alnatura - 1 l,drinks,14.52,83.0,77.0,29.935,20.232014218009482,2.62,Allergens: Nuts,0,1,0,0,0,2,Neutral
Single Soya - Alpro - 88 x 30 g,drinks,2.0,4.5,1.6,1.2,0.3,0.15,"Allergens: Gluten, Soybeans",0,0,1,1,0,2,Neutral
Schweppes Lemonade 2l,drinks,0.0,4.2,4.2,0.0,0.0,0.04,"Allergens: Gluten, Soybeans",0,0,1,1,0,3,Harmful
Organic Kombucha ginger lemon - Remedy - 250ml,drinks,0.16,1.52,13.901433217189314,0.04,0.16,0.01,"Allergens: Gluten, Soybeans",0,0,1,1,0,3,Harmful
Kefir Greek Style Natural -  - 450 g,drinks,14.52,17.0,10.0,29.935,20.232014218009482,2.62,Allergens: Milk,1,0,0,0,0,2,Neutral
Arctic coffee café latte -,drinks,2.9,7.8,7.5,1.0,0.5,0.16,Allergens: Milk,1,0,0,0,0,2,Neutral
Oatmilk Original Extra Creamy - Planet Oat - 52 oz (1.54 l),drinks,0.833,9.17,0.0,0.0,0.833,0.125,Allergens: Gluten,0,0,0,1,0,2,Neutral
Oat drink chocolate deluxe - Oatly - 1L,drinks,1.4,10.0,6.5,0.3,1.2,0.12,Allergens: Gluten,0,0,0,1,0,2,Neutral
"Eau minérale naturelle à l'extrait de clémentine - Salvetat - 1,15 L",drinks,14.52,100.0,78.0,11.578162962962963,12.751875527426158,2.62,Allergens: Gluten,0,0,0,1,0,2,Neutral
Yogur líquido frambuesa - Danone,drinks,2.7,4.9,4.5,0.0,12.751875527426158,0.1,Allergens: Gluten,0,0,0,1,0,2,Neutral
ПЕПСИ 2Л - Pepsi,drinks,12.055957255343081,14.729708803611738,13.901433217189314,11.578162962962963,12.751875527426158,2.62,Allergens: Gluten,0,0,0,1,0,1,Beneficial
Dinkel drink matur - dm bio - 1 l,drinks,0.8,6.2,5.7,0.2,0.4,0.13,Allergens: Gluten,0,0,0,1,0,3,Harmful
Aperitivo - italiamo - 98ml,drinks,0.0,15.0,13.901433217189314,11.578162962962963,12.751875527426158,2.62,Allergens: Gluten,0,0,0,1,0,3,Harmful
Skyr superberry - Graham’s - 150g,drinks,10.2,9.8,8.8,0.2,12.751875527426158,0.1,Allergens: Milk,1,0,0,0,0,1,Beneficial
On the go - Aldi - 200g,drinks,12.5,4.95,2.7,0.3,0.35,0.143,Allergens: Milk,1,0,0,0,0,1,Beneficial
"Real fruit double strength orange & pineapple, concentrated soft drink with sweeteners - Robinson's - 1l",drinks,0.0,0.0,0.0,0.0,12.751875527426158,0.02,Allergens: Milk,1,0,0,0,0,2,Neutral
Gro Oaty one - 1litre,drinks,0.5,7.6,3.2,0.2,0.5,0.1,Allergens: Gluten,0,0,0,1,0,3,Harmful
Boisson Riz complet - Bjorg - 1 L,drinks,0.0,7.6,2.4,0.1,0.6,0.18,Allergens: Gluten,0,0,0,1,0,3,Harmful
Mini Apple and Blackcurrant soft drink - Robinsons,drinks,0.0,0.0,0.0,0.0,0.0,0.0,Allergens: Apple,0,0,0,0,0,2,Neutral
Sanpellegrino limonata - Nestlé - 6 x 33 cl,drinks,0.1,8.0,8.0,0.0,0.1,0.0,Allergens: Apple,0,0,0,0,0,3,Harmful
